usia; eksposur ; xr ; xs ; xm ; xp 
17;374.217.859.686.720;0;0;0;374.217.859.686.720
18;374.702.921.774.349;0;0;0;374.702.921.774.349
19;381.880.631.194.836;0;0;0;381.880.631.194.836
20;390.222.165.951.312;0;0;0;390.222.165.951.312
21;417.821.209.372.892;0;0;0;417.821.209.372.892
22;514.161.031.138.565;0;0;0;514.161.031.138.565
23;685.659.211.650.580;1;0;0;684.659.211.650.580
24;867.060.419.954.253;4;0;0;863.060.419.954.253
25;1.115.385.576.069.310;9;0;1;1.105.385.576.069.310
26;1.302.853.838.288.120;4;0;0;1.298.853.838.288.120
27;1.464.088.137.201.480;5;0;0;1.459.088.137.201.480
28;1.557.339.363.906.550;8;0;0;1.549.339.363.906.550
29;1.731.225.426.401.570;5;0;0;1.726.225.426.401.570
30;1.926.885.994.766.020;7;0;1;1.918.885.994.766.020
31;1.931.824.704.605.510;11;0;2;1.918.824.704.605.510
32;2.100.437.165.355.810;11;0;2;2.087.437.165.355.810
33;2.252.211.759.302.940;10;0;1;2.241.211.759.302.940
34;2.259.386.461.014.830;6;0;2;2.251.386.461.014.830
35;2.404.588.203.708.110;10;0;3;2.391.588.203.708.110
36;2.516.239.660.793.490;9;0;5;2.502.239.660.793.490
37;2.607.612.070.748.580;9;0;3;2.595.612.070.748.580
38;2.658.674.983.965.960;11;0;3;2.644.674.983.965.960
39;2.724.166.846.480.290;14;0;7;2.703.166.846.480.290
40;2.796.338.797.985.070;10;0;4;2.782.338.797.985.070
41;2.880.705.613.536.170;9;0;4;2.867.705.613.536.170
42;2.932.069.761.175.340;11;0;8;2.913.069.761.175.340
43;2.965.737.231.264.390;16;0;5;2.944.737.231.264.390
44;2.998.166.432.599.000;19;0;7;2.972.166.432.599.000
45;3.002.964.527.450.240;41;0;8;2.953.964.527.450.240
46;3.000.418.656.526.730;30;0;13;2.957.418.656.526.730
47;2.962.460.416.407.820;33;0;7;2.922.460.416.407.820
48;2.898.387.868.324.390;45;0;8;2.845.387.868.324.390
49;2.780.606.054.468.620;89;0;8;2.683.606.054.468.620
50;2.614.966.056.774.220;71;0;14;2.529.966.056.774.220
51;2.443.194.266.228.910;82;0;10;2.351.194.266.228.910
52;2.218.951.755.775.030;127;0;6;2.085.951.755.775.030
53;1.949.373.705.964.460;118;0;7;1.824.373.705.964.460
54;1.641.846.333.757.400;105;0;6;1.530.846.333.757.400
55;482.423.055.591.166;0;0;0;482.423.055.591.166
;43.406.569.221.592;;;;43.406.569.221.592
